date_time,period,destination_place,frequency,province,revenue,age_bin,sex,no_of_trips,trip_kms
2023-09-03,16,house,work/study,Valencia/València,10-15,45-65,man,5.508,4.799
2023-09-07,12,frequent,frequent,Valencia/València,10-15,0-25,,6.143,11.359
2023-09-02,0,not_frequent,house,A Coruña,10-15,,,5.688,58.338
2023-09-04,10,frequent,house,Cantabria,10-15,,,14.258,83.946
2023-09-07,20,frequent,house,Navarra,10-15,,,25.697,271.857
2023-09-02,17,work/study,frequent,Madrid,>15,45-65,man,4.08,15.532
2023-09-04,8,work/study,house,Barcelona,10-15,45-65,woman,2.465,13.234
2023-09-05,13,frequent,frequent,Murcia,10-15,25-45,woman,4.15,34.413
2023-09-05,0,house,work/study,Tarragona,>15,,,6.56,15.226
2023-09-03,22,frequent,frequent,Illes Balears,>15,25-45,woman,6.478,15.202
2023-09-06,18,work/study,not_frequent,Barcelona,10-15,45-65,man,2.404,7.103
2023-09-04,20,not_frequent,house,Córdoba,10-15,65-100,man,2.036,37.473
2023-09-01,7,frequent,frequent,Córdoba,>15,,,2.611,54.86
2023-09-07,6,house,frequent,Pontevedra,10-15,0-25,woman,55.566,54.256
2023-09-03,12,frequent,not_frequent,Illes Balears,10-15,25-45,,2.89,2.354
2023-09-01,20,frequent,house,Cádiz,<10,25-45,,8.746,22.5
2023-09-01,9,frequent,work/study,Barcelona,10-15,,,5.222,46.152
2023-09-04,21,house,frequent,Asturias,>15,45-65,woman,19.17,84.959
2023-09-04,16,frequent,frequent,Girona,>15,,,6.932,94.323
2023-09-07,13,frequent,house,Barcelona,10-15,0-25,man,22.609,88.601
2023-09-04,14,work/study,house,Las Palmas,10-15,45-65,woman,3.805,19.017
2023-09-04,10,frequent,frequent,A Coruña,10-15,25-45,,4.059,40.216
2023-09-04,20,not_frequent,house,Córdoba,<10,,,8.218,293.331
2023-09-01,13,frequent,work/study,Almería,10-15,25-45,woman,11.578,58.073
2023-09-06,15,not_frequent,house,Granada,10-15,45-65,man,2.193,6.492
2023-09-05,7,frequent,house,Gipuzkoa,>15,65-100,woman,4.439,45.473
2023-09-01,16,frequent,house,Málaga,<10,65-100,man,23.007,27.992
2023-09-01,16,not_frequent,not_frequent,Asturias,10-15,25-45,,5.931,66.265
2023-09-06,4,frequent,work/study,Málaga,10-15,0-25,man,4.483,4.781
2023-09-01,13,not_frequent,frequent,Madrid,>15,65-100,woman,11.601,39.132
2023-09-07,13,work/study,house,La Rioja,10-15,0-25,man,20.688,55.036
2023-09-06,22,frequent,house,Illes Balears,10-15,45-65,woman,3.454,61.777
2023-09-01,14,frequent,frequent,Santa Cruz de Tenerife,10-15,,,3.558,48.336
2023-09-06,16,frequent,not_frequent,Sevilla,>15,25-45,man,3.392,12.195
2023-09-04,4,house,frequent,Barcelona,10-15,45-65,man,2.069,10.722
2023-09-05,17,frequent,not_frequent,Lugo,10-15,65-100,,6.482,213.533
2023-09-05,14,frequent,house,Alicante/Alacant,10-15,25-45,woman,31.055,37.943
2023-09-01,13,not_frequent,house,Valencia/València,10-15,,,3.848,118.925
2023-09-01,0,frequent,not_frequent,Barcelona,>15,25-45,woman,5.206,18.597
2023-09-05,20,house,work/study,Barcelona,10-15,45-65,,2.181,2.24
2023-09-07,7,not_frequent,work/study,Palencia,10-15,,,2.542,6.714
2023-09-03,9,house,not_frequent,Barcelona,>15,65-100,man,2.834,11.889
2023-09-02,20,not_frequent,frequent,Asturias,10-15,65-100,woman,5.231,139.486
2023-09-07,18,work/study,house,Barcelona,>15,25-45,woman,6.89,143.523
2023-09-05,17,frequent,frequent,Madrid,>15,0-25,woman,6.856,6.86
2023-09-01,15,house,work/study,Barcelona,>15,,,3.0,11.777
2023-09-05,9,house,not_frequent,Ourense,>15,45-65,woman,4.302,346.69
2023-09-02,11,work/study,house,Illes Balears,10-15,25-45,man,3.439,22.486
2023-09-05,23,house,work/study,Barcelona,<10,0-25,man,5.087,20.128
2023-09-07,16,frequent,frequent,Las Palmas,<10,45-65,woman,3.689,40.909
2023-09-01,18,house,work/study,Barcelona,>15,,,4.389,7.045
2023-09-07,22,frequent,frequent,A Coruña,10-15,45-65,,10.708,25.516
2023-09-02,5,house,not_frequent,Barcelona,>15,65-100,woman,5.209,13.153
2023-09-03,16,work/study,house,Huesca,10-15,25-45,,10.341,26.083
2023-09-01,20,house,frequent,A Coruña,10-15,0-25,,5.453,16.159
2023-09-04,14,work/study,house,Valencia/València,10-15,,,17.745,14.772
2023-09-01,19,house,not_frequent,Madrid,10-15,45-65,man,3.141,289.544
2023-09-04,20,frequent,house,Málaga,10-15,45-65,,23.212,125.152
2023-09-04,0,house,frequent,Granada,<10,0-25,man,13.524,15.702
2023-09-03,5,frequent,frequent,Las Palmas,<10,0-25,,6.761,28.468
2023-09-04,14,house,work/study,Alicante/Alacant,<10,0-25,man,18.729,22.285
2023-09-02,11,house,not_frequent,Ciudad Real,<10,,,2.885,155.421
2023-09-01,13,frequent,frequent,Valencia/València,10-15,65-100,man,3.203,15.029
2023-09-04,21,frequent,house,Cádiz,10-15,0-25,woman,55.865,248.8
2023-09-02,11,not_frequent,house,Asturias,>15,25-45,woman,3.394,7.918
2023-09-04,22,not_frequent,work/study,Barcelona,10-15,0-25,,9.082,44.523
2023-09-05,7,house,frequent,Granada,10-15,,,9.028,183.622
2023-09-04,11,house,not_frequent,Valencia/València,>15,45-65,man,2.101,23.855
2023-09-07,11,frequent,house,Granada,<10,,,4.203,74.486
2023-09-01,1,not_frequent,house,Las Palmas,<10,25-45,man,3.814,59.7
2023-09-03,19,frequent,frequent,A Coruña,10-15,,,3.821,38.731
2023-09-01,8,not_frequent,house,Jaén,<10,,,8.846,224.515
2023-09-07,18,work/study,frequent,Almería,10-15,,,4.433,15.372
2023-09-06,23,frequent,house,La Rioja,10-15,45-65,woman,25.169,25.117
2023-09-04,5,not_frequent,house,Barcelona,>15,45-65,woman,3.554,13.615
2023-09-04,15,not_frequent,house,Teruel,>15,,,14.599,78.659
2023-09-07,11,not_frequent,not_frequent,Valencia/València,10-15,0-25,man,5.793,20.93
2023-09-05,6,house,work/study,Cáceres,<10,,,5.066,28.536
2023-09-02,12,work/study,house,Las Palmas,10-15,65-100,,4.101,20.169
2023-09-01,20,frequent,house,Barcelona,10-15,25-45,woman,31.203,43.165
2023-09-04,6,house,not_frequent,Bizkaia,10-15,45-65,man,2.183,28.081
2023-09-07,7,not_frequent,house,Barcelona,10-15,25-45,man,9.518,37.828
2023-09-03,16,work/study,house,Santa Cruz de Tenerife,<10,45-65,woman,16.85,78.893
2023-09-04,7,frequent,not_frequent,Asturias,10-15,25-45,,1.493,25.417
2023-09-02,3,frequent,house,Barcelona,10-15,45-65,,3.526,3.108
2023-09-04,19,house,frequent,Salamanca,10-15,,,6.879,49.953
2023-09-05,20,frequent,frequent,Granada,<10,,,4.973,88.876
2023-09-04,15,not_frequent,house,Illes Balears,10-15,25-45,,6.702,152.061
2023-09-05,13,frequent,frequent,Barcelona,10-15,45-65,man,2.096,7.799
2023-09-01,7,frequent,house,Badajoz,<10,45-65,,2.014,27.341
2023-09-02,5,house,frequent,Barcelona,10-15,0-25,woman,37.982,27.258
2023-09-01,23,not_frequent,not_frequent,A Coruña,10-15,25-45,man,4.701,72.987
2023-09-05,10,frequent,frequent,Gipuzkoa,>15,25-45,,2.923,6.266
2023-09-03,16,frequent,frequent,Asturias,>15,45-65,man,3.712,7.641
2023-09-02,19,frequent,not_frequent,Zamora,10-15,0-25,,6.562,10.03
2023-09-01,19,not_frequent,house,Madrid,>15,0-25,woman,9.565,66.54
2023-09-07,17,frequent,work/study,Madrid,10-15,65-100,man,5.822,13.85
2023-09-02,17,work/study,not_frequent,Madrid,>15,25-45,,4.491,139.126
2023-09-05,21,frequent,house,Barcelona,10-15,45-65,woman,7.906,75.56
2023-09-01,15,work/study,frequent,Castellón/Castelló,10-15,45-65,man,4.039,4.603
2023-09-03,23,not_frequent,frequent,Cádiz,<10,65-100,woman,3.962,16.561
2023-09-03,18,frequent,not_frequent,Pontevedra,>15,45-65,woman,3.728,101.154
2023-09-01,14,frequent,house,Cádiz,<10,,,4.36,215.774
2023-09-07,7,house,frequent,Cádiz,10-15,0-25,man,7.334,24.398
2023-09-07,19,house,frequent,Albacete,10-15,25-45,woman,10.318,29.598
2023-09-07,22,not_frequent,work/study,A Coruña,10-15,45-65,woman,3.98,19.303
2023-09-07,3,work/study,not_frequent,Toledo,<10,0-25,man,14.125,420.084
2023-09-04,9,frequent,frequent,Salamanca,10-15,45-65,woman,10.278,14.228
2023-09-07,11,work/study,frequent,Barcelona,10-15,45-65,man,1.886,19.228
2023-09-04,10,work/study,frequent,Valencia/València,10-15,25-45,man,3.037,72.163
2023-09-04,19,work/study,house,Barcelona,10-15,45-65,woman,5.8,14.457
2023-09-02,10,house,frequent,Las Palmas,10-15,45-65,woman,32.886,145.188
2023-09-06,12,house,frequent,Murcia,<10,0-25,,3.645,21.989
2023-09-04,6,frequent,frequent,Araba/Álava,10-15,,,3.907,42.307
2023-09-01,22,not_frequent,frequent,Zaragoza,>15,25-45,woman,7.464,863.494
2023-09-04,9,house,frequent,Madrid,10-15,25-45,woman,4.543,4.139
2023-09-06,9,frequent,house,Alicante/Alacant,>15,,,3.973,17.192
2023-09-05,8,house,frequent,Barcelona,>15,65-100,woman,8.362,169.003
2023-09-06,19,not_frequent,not_frequent,Madrid,10-15,45-65,man,2.75,2.63
2023-09-02,21,frequent,house,Barcelona,10-15,25-45,woman,3.738,23.892
2023-09-07,15,work/study,frequent,Madrid,10-15,45-65,man,10.154,14.665
2023-09-01,13,frequent,frequent,Bizkaia,>15,65-100,man,4.131,30.329
2023-09-05,20,not_frequent,house,Ciudad Real,<10,45-65,,2.705,102.134
2023-09-07,5,house,work/study,Barcelona,10-15,0-25,,8.834,78.534
2023-09-05,17,not_frequent,not_frequent,Girona,10-15,,,1.529,12.302
2023-09-03,8,house,not_frequent,Sevilla,<10,,,7.634,174.721
2023-09-07,9,frequent,frequent,Huelva,<10,,,3.309,2.413
2023-09-03,22,frequent,house,Palencia,10-15,,,2.4,33.616
2023-09-02,15,not_frequent,not_frequent,Barcelona,>15,45-65,man,2.855,26.102
2023-09-04,0,not_frequent,house,Almería,<10,25-45,,2.151,14.652
2023-09-06,16,house,frequent,Málaga,10-15,45-65,woman,21.24,150.705
2023-09-05,14,frequent,house,Illes Balears,<10,,,1.578,13.437
2023-09-07,2,house,work/study,Barcelona,10-15,,,2.687,3.598
2023-09-07,17,house,not_frequent,Alicante/Alacant,<10,,,4.444,53.941
2023-09-03,15,not_frequent,house,Alicante/Alacant,10-15,25-45,man,4.286,57.044
2023-09-05,17,house,frequent,Barcelona,>15,,,17.669,55.699
2023-09-01,16,house,frequent,Madrid,10-15,0-25,woman,37.416,39.011
2023-09-06,16,work/study,house,Jaén,<10,,,6.3,28.847
2023-09-07,4,house,work/study,Valencia/València,10-15,45-65,,3.414,23.491
